"Username","Photography","Sculpture","Home","Animals","Charity","Law","Military","Politics","Religion","Travel","Vehicles","Shopping","Outdoor recreation","Sports","Fitness","Technology","News","Painting","Architecture","Books","Business","RealEstate","Dance","Engineering","Family","Food","Games","HealthCare","Live Events","Movies","Science","TV","Entrepreneurship"
"shopliv3",0.0022837065374132688,0.002537165794374957,0.004503520327246633,0.026255458968050902,0.00163983492993027,0.008089658891491111,0.005656711935722756,0.005558078798807447,0.011965826008381183,0.016360305684981404,0.015730987948788386,0.0038220497115203918,0.0035306571406972095,0.01754104533735037,0.005780460607274389,0.010359890411733158,0.01166644175158654,0.005019558361232227,0.01652397187566399,0.03679897889701683,0.009133415701938007,0.006795581740093629,0.0036919840953507934,0.006344373378390894,0.014126354131534544,0.011741509295428462,0.01724276460537049,0.0017150504672948865,0.006446970801858151,0.005583372773974955,0.0052770943169159765,0.0059717019871311046,0
"nickfarrar",0.0013992250793376632,0.0017992498079425513,0.001976581551600623,0.03735446080203067,0.0006860474724255237,0.011195880312453114,0.013427485655180683,0.0054386114060684995,0.009249861174093252,0.025883370065290914,0.027560943940686172,0.0024133234997227005,0.003037013604435642,0.01350458359603798,0.004634835396562124,0.008346971945102609,0.006183589812342789,0.00252969230597079,0.007406132501948697,0.009184165465353635,0.005154939949684996,0.004471252611706723,0.005633869847054903,0.005967836447374457,0.010651536702064942,0.009423311839996657,0.008274623871493103,0.0016799941528884053,0.006072840046463208,0.005301813905016675,0.006796249776844226,0.0029232837581465543,0
"issycroker",0.003622087733081031,0.005080827021324513,0.005051545289458337,0.020245652362133274,0.0024341964757451672,0.022028555630966028,0.009520139105233751,0.004591327229618685,0.03944609688649616,0.006678740508777576,0.006486693121395789,0.0027406457881929674,0.0021388877512038417,0.00805693802467731,0.012939365980417936,0.0062377464143480235,0.008848454848818767,0.0027819149777243424,0.00962765186707629,0.028217193957006722,0.004749820571259909,0.0034407389470439884,0.0021628733381203243,0.002550126617538206,0.00524135019042277,0.01174499392274631,0.004529920112652137,0.0005129477601434862,0.0045176142458525385,0.003593140794214589,0.0033820082977085806,0.0030440814313547108,0
"urbanlawyers",0.006839161778482454,0.005816357303180233,0.004745657028299618,0.02161738535805566,0.0007611775727008274,0.036018823722073504,0.013413917346613655,0.011766497796914112,0.021048981793856558,0.011977459415926605,0.005132886620227145,0.008285174559546917,0.0020300776246668243,0.01445163980494808,0.005031095856219409,0.006862344172580579,0.012482375797438295,0.008219546155188528,0.019101575695494928,0.038457035131049505,0.006079778211773984,0.003164684358817019,0.004906467140200621,0.0028452898263651295,0.011863634889058743,0.007831352716610838,0.011590403643975677,0.0022586444890062922,0.008640018856855412,0.0162289566587123,0.005541228820103991,0.00584214219762761,0
"dalailama",0.0019016109677914305,0.002102321312986872,0.0014394489394362418,0.015545940026382155,0.0006073280323058948,0.008314614379811042,0.005453787449408476,0.0060942009890535736,0.010013286301876898,0.005986734553579653,0.003936866515328651,0.0019369813971743819,0.002204199681996973,0.008772047611763634,0.0015059418636203853,0.0027754482118493577,0.002783695680820458,0.001459720170211354,0.00792752383656004,0.007923099520282324,0.0020599692663017814,0.0031807359788853587,0.002720405810069729,0.0007099277233596614,0.007018880559758316,0.002235393811088923,0.00860259769255576,0.000763048071757237,0.003037005031305006,0.0017709831294082372,0.0009182592213866465,0.0034432087172057927,0
"bhgaus",0.010469103177258967,0.013675380309106241,0.12136211272480685,0.1314094158202148,0.003758621155599945,0.0116597554572251,0.010834905140104621,0.004955417609181437,0.023163833989076593,0.02673458385515006,0.011894562468657291,0.008297682492427924,0.01391744266300324,0.02089421811591305,0.013579479235232256,0.014256356378212699,0.014798382880262969,0.0037472665836431785,0.073207758853934,0.01985903830951804,0.02651006980088927,0.011936965140543062,0.007254977678334206,0.005189932165529845,0.023126876176545325,0.10194913563478875,0.01354392604681796,0.001963830517901851,0.006528794240312671,0.011593509967110562,0.010667288831412713,0.011443479523381253,0
"foldedpagesdistillery",0.004187192886620622,0.005028218761890425,0.004693402562973808,0.026132846863192727,0.0021726152273086586,0.01516442994721543,0.0053109752555545574,0.006154610046970221,0.02040634419030642,0.017405941537689616,0.005594977141479746,0.002419674571842161,0.0030831688872905664,0.023005566328374492,0.004392851845753553,0.008838721645897838,0.010598588626522892,0.002605640705684551,0.013635694182444119,0.04489553220758061,0.006032396300206882,0.0024375097428766994,0.003822777191512073,0.0061459226765931164,0.010143671365333614,0.009622162831772852,0.01917485782089112,0.0010615952251502806,0.009280909951383344,0.006572001174809714,0.007743638340500781,0.0046069948494318,0
"theunusefulidiots",0.0029823864605872346,0.0028083374895223863,0.00493042360494449,0.0203271897568893,0.0032955101720331123,0.018526116119928306,0.01543993960307782,0.028191343724301147,0.017368163717840987,0.03280045488065968,0.008709711619869255,0.002091906656798004,0.0013423023363171986,0.010264916520883611,0.0026511920029756247,0.008442533337326093,0.0036677557355827856,0.0025169970261800963,0.007048928781278465,0.016165879594245914,0.00960815385062977,0.005197744934518402,0.002101307657457756,0.003249599277437499,0.010249895342869186,0.0062232426598643024,0.008076067929012547,0.0011768687636218222,0.00558977338748958,0.0031490256217654687,0.002618244314460247,0.0017698631909085646,0
"lse.economics",0.03912605539516656,0.0346033545145823,0.013016760236177226,0.038300452107503324,0.003193257852886059,0.037827068123121185,0.01785076396968064,0.01263240597065405,0.03226009161773555,0.016117213079305276,0.010849884588138282,0.010252881038689527,0.002790966860278261,0.030986720483420577,0.005389736292225297,0.013204076758690567,0.015474732882556274,0.007436079509793225,0.029800120718412364,0.040899993372804214,0.019206084287197077,0.007804328525478914,0.018012203771137273,0.0060532404575656396,0.023907720628597966,0.01769300384732429,0.02240973093672226,0.002255026118885759,0.014330839586424456,0.01686621299044351,0.009503198108496631,0.009123294077239056,0
"sumbafoundation",0.000605789486912743,0.00805778200558931,0.014128948913636667,0.02044790077539199,0.14533510979320832,0.03384699978981339,0.04342162651392959,0.06328056705605145,0.07184475089447405,0.019477476991707685,0.002838538844038292,0.03329132208482108,0.024143041527796155,0.04474194213249626,0.00035681162843371024,0.00401542601264916,0.004785770240305291,0.017643175585512857,0.01684321721721872,0.041005412159878525,0.03394653673991275,0.0004693770728197878,0.04960242931415651,0.025547441755963126,0.041211033007516,0.14633641011381576,0.01268622855017361,0.09463178815531124,0.04546651891320908,0.016174583148593026,0.036912227699074325,0.0004134807317794428,0.00657240557037032
